English_Name,Company,Email,Phone,Fax,Industrial_City,Classification
Saudi Blankets Manufacturing and Textile Co.Ltd.,الشركة السعودية لصناعة البطانيات والمنسوجات المحدودة,info@saudiblantex.com,114981735,114984338,الرياض الثانية,غير مصنف
Saudi bitumen industry Co.Ltd.,الشركة السعودية لصناعة البيتومين المحدودة,bitumen@saudibitumen.com,112652602,112652524,الرياض الثانية,المواد الكيميائية و منتجاتها
Saudi Refrigerators Manufacturing,الشركة السعودية لصناعة الثلاجات,mohammed.ghallab@samco.com.sa,126373202,126363731,جــدة الأولى,صناعة الكهرباء والأجهزة الكهربائية
Saudi Industry Valves Co.Ltd.,الشركة السعودية لصناعة الصمامات المحدودة,zahid@avksvmc.com,126379380,26379380,جــدة الأولى,معدات ومكائن
Saudi Filters Manufacturing,الشركة السعودية لصناعة الفلاتر,info@saudifilter.com,138121184,138121050,الدمام الثانية,المواد الكيميائية و منتجاتها
Saudi Filters Manufacturing,الشركة السعودية لصناعة الفلاتر,info@saudifilter.com,138121184,138121050,الدمام الثانية,غير مصنف
Saudi Company for the manufacture of air conditioners,الشركة السعودية لصناعة المكيفات,MOHAMMED.GHALLAB@SAMCO.COM.SA,126363731,126363731,جــدة الأولى,صناعة الكهرباء والأجهزة الكهربائية
Saudi Paper Manufacturing,الشركة السعودية لصناعة الورق,haris.ali@saudipaper.com,138121016,138121060,الدمام الثانية,غير مصنف
Saudi Carpet Manufacturing supplies - Matex,الشركة السعودية لصناعة مستلزمات السجاد - ماتكس,awad.m@mattex.com,126081133,126081251,جــدة الأولى,غير مصنف
Saudi Company for the shipping industry platforms,الشركة السعودية لصناعة منصات الشحن,email@hotmail.com,114659975,114647540,الدمام الثانية,غير مصنف
Saudi Company for coating roads,الشركة السعودية لطلاء الطرق,romac@romac-nrs.com.sa,138471830,138471834,الدمام الأولى,غير مصنف
Saudi Company for pipe coating wire,الشركة السعودية لطلاء انابيب الاسلاك,sales@s3c.com.sa,138473288,138472316,الدمام الأولى,غير مصنف
Saudi Company for packaging (Spibiku),الشركة السعودية للتعبئة والتغليف ( سبابكو),spapco@hotmail.com,125200319,125200216,مكة المكرمة,صناعة منتجات المطاط و البلاستيك
Saudi Ready Mix Concrete,الشركة السعودية للخرسانة الجاهزة,mohammed.alshehri@saudireadymix.com.sa,138822373,138822037,الدمام الثانية,المواد الكيميائية و منتجاتها
Saudi Ready Mix Concrete,الشركة السعودية للخرسانة الجاهزة,ali.rashed@Saudireadymix.com.sa,138472704,138473737,الدمام الأولى,صناعة المعادن اللافلزية و مواد البناء
Saudi Industrial Paints,الشركة السعودية للدهانات الصناعية,info@sipco.com.sa,138472299,138473780,الدمام الأولى,المواد الكيميائية و منتجاتها
Saudi Basic Industries SABIC,الشركة السعودية للصناعات الاساسية سابك,aalmarzooq@sabic.com,138108433,138108420,الدمام الأولى,خدمي
Saudi Leather Industries Co.Ltd.,الشركة السعودية للصناعات الجلدية المحدودة,sales@saudileather.com,138121066,138122253,الدمام الثانية,غير مصنف
Saudi Industries calcareous,الشركة السعودية للصناعات الجيرية,secretary@saudilime.com,112651824,112651175,الرياض الثانية,صناعة المعادن اللافلزية و مواد البناء
Saudi Pharmaceutical Industries,الشركة السعودية للصناعات الدوائية,yasser.aljarbou@spimaco.sa,163304450,163220010,القصيم الأولى,صناعات طبية
Saudi Industries Pharmaceutical Co.Ltd.,الشركة السعودية للصناعات الصيدلانية المحدودة,info@saudi-pharma.net,112650450,112650383,الرياض الثانية,صناعات طبية
Saudi Industries Pharmaceutical Co.Ltd.,الشركة السعودية للصناعات الصيدلانية المحدودة,hr@saudi-pharma.net,112650450,112650383,سدير,صناعات طبية
Saudi Company for Electrical Industries / Factory Copper Products,الشركة السعودية للصناعات الكهربائية / مصنع منتجات النحاس,r.ahmed@seico.com.sa,126080643,26080643,جــدة الأولى,صناعة الكهرباء والأجهزة الكهربائية
Saudi Electric Industries Co.Ltd.,الشركة السعودية للصناعات الكهربائية المحدوده,a.alahmad@seico.com.sa,126080601,126080643,جــدة الأولى,صناعة الكهرباء والأجهزة الكهربائية
Saudi Chemical Industries Co.Ltd.,الشركة السعودية للصناعات الكيماوية المحدودة,fawaz.ah@scipaints.com,126080333,126374857,جــدة الأولى,المواد الكيميائية و منتجاتها
Saudi Company for Metal Industries and Galvanizing (Saudi Metin),الشركة السعودية للصناعات المعدنية والجلفنة (سعودي ميتن),talal@saudimetin.co,126360794,126380945,جــدة الأولى,صناعة معدنية
Saudi Company for Mechanical Industries,الشركة السعودية للصناعات الميكانيكية,admin@smi.com.sa,0112651979/129,112651494,الرياض الثانية,صناعات تحويلية اخرى
Saudi Company for Chemicals and Pesticides,الشركة السعودية للكيماويات والمبيدات الحشرية,salah_vip05@yahoo.com,114488079,114486792,الرياض الأولى,المواد الكيميائية و منتجاتها
Saudi Light Food Co.Ltd.,الشركة السعودية للمأكولات الخفيفة المحدودة,abdullah.al-nafie@pepsico.com,112018888,112011188,الرياض الثانية,صناعة المنتجات الغذائية والمشروبات
Saudi Light Food Co.Ltd.,الشركة السعودية للمأكولات الخفيفة المحدودة,husin.alabduli@pepsico.com,126080295,126082220,جــدة الأولى,صناعة المنتجات الغذائية والمشروبات
Saudi Light Food Co.Ltd.,الشركة السعودية للمأكولات الخفيفة المحدودة,abdullah.al-nafie@pepsico.com,112018888,112011188,الرياض الثانية,غير مصنف
Saudi Concrete Products Co.Ltd. (Cityscape),الشركة السعودية للمنتجات الخرسانية المحدودة ( سكيب ),hdjh@h.com,112241111,112659479,الدمام الثانية,غير مصنف
Saudi health products,الشركة السعودية للمنتجات الصحية,dispro@dispro.net,114980820,114984879,الرياض الثانية,صناعات طبية
Saudi Chemical Materials,الشركة السعودية للمواد الكيماوية,alashqar@atco.com.sa,138121035,138121201,الدمام الثانية,المواد الكيميائية و منتجاتها
Saudi models Trading Co.Ltd.,الشركة السعودية للنماذج التجارية المحدودة,saudi.sbf@gmail.com,126378800,126370430,جــدة الأولى,صناعة معدنية
Saudi Company for Dairy Products (SADAFCO),الشركة السعودية لمنتجات الألبان ( سدافكو ),talal.alnonou@sadafco.com,126361440,126368728,جــدة الأولى,صناعة المنتجات الغذائية والمشروبات
Saudi Dairy and Food - SADAFCO,الشركة السعودية لمنتجات الألبان والأغذية - سدافكو,talal.alnounou@sadafco.com,138121211,138578801,الدمام الثانية,غير مصنف
Saudi special laboratories - matching,الشركة السعوديه للمختبرات الخاصة - مطابقة,thaif@motabaqah.com,114160110,146549907,الرياض الثانية,غير مصنف
Saudi Rubber Products,الشركة السعوديه لمنتجات المطاط,ceo@saudirubber.com,138121919,138121818,الدمام الثانية,غير مصنف
Eastern Company Carton Industry - Aasrenbak,الشركة الشرقية لصناعة الكرتون - إيسرنباك,fouad.khalil@easternpak.com,138121341,138121305,الدمام الثانية,غير مصنف
The company Eastern Printing Press,الشركة الشرقية للطباعة والصحافة,alkhnani@hotmail.com,138471404,138471396,الدمام الأولى,صناعات تحويلية اخرى
United Industrial Co. for Paints,الشركة الصناعية المتحدة لصناعة الدهانات,secrtary@uicpaint.com.sa,126377555,126380067,جــدة الأولى,المواد الكيميائية و منتجاتها
Industrial company Global shelves,الشركة الصناعية للأرفف العالمية,al.khashib@usico.com.sa,126376699,126364611,جــدة الأولى,صناعة معدنية
Industrial Company Aluminum & Marble - Arhital,الشركة الصناعية للألمنيوم والرخام - ارشيتال,archital2000@yahoo.com,112652042,112651718,الرياض الثانية,صناعة معدنية
Industrial company poured sanitary ware,الشركة الصناعية للسكب والأدوات الصحية,abdulaziz@saudicast.com,114480107,114464976,الرياض الأولى,صناعات طبية
Global Manufacturing Co. Paints Ltd,الشركة العالمية لتصنيع الدهانات المحدوده,sipespaivlts@hotmail.com,126389680,26389680,جــدة الأولى,المواد الكيميائية و منتجاتها
International Aluminum - Alenko,الشركة العالمية للالمنيوم - الينكو,info@ggc.com.sa,112651221,112651505,الرياض الثانية,صناعة معدنية
Saudi Arabia Japanese Company for Pharmaceutical Co.Ltd.,الشركة العربية السعودية اليابانية للمنتجات الصيدلانية المحدودة,saeed.almalki@sajapharma.com,126080514,126379997,جــدة الأولى,صناعات طبية
Saudi Arabia Company for the manufacture of metal,الشركة العربية السعودية لتصنيع المعادن,safamisales@safami.com.sa,138123285,138123293,الدمام الثانية,غير مصنف
Saudi Arabia Company Industry Ductile Iron Pipes Co.Ltd.,الشركة العربية السعودية لصناعة أنابيب حديد الدكتايل المحدودة,thamers@amiantit.com,138121001,138471645,الدمام الثانية,غير مصنف
Saudi Arabia Company Industry Packaging,الشركة العربية السعودية لصناعة مواد التعبئة,info@sapin.com,138471322,138474120,الدمام الأولى,صناعة معدنية
Saudi Arabian Concrete Products Co.Ltd. - Sakub,الشركة العربية السعودية للمنتجات الخرسانية المحدودة - ساكوب,thamers@amiantit.com,138471500,138471645,جــدة الأولى,غير مصنف
Arab Chemical Company (polystyrene),الشركة العربية الكيماوية ( البوليستايرين ),H.Khaled@EAJB.com.sa,126373286,126373286,جدة الثانية,غير مصنف
Arab Chemical Company (polystyrene),الشركة العربية الكيماوية (البوليستايرين),h.khalaf@eajb.com.sa,126372485,126373286,جــدة الأولى,الملابس والمنسوجات و الجلود
Arab Company for the production of pellets cables - Blascom,الشركة العربية لانتاج حبيبات الكوابل - بلاسكوم,info@plascom.com.sa,112650255,112650270,الرياض الثانية,صناعات تحويلية اخرى
Arab Company for the formation of a decorative glass,الشركة العربية لتشكيل وزخرفة الزجاج,ashouryglass@hotmail.com,114995602,114985634,الرياض الثانية,صناعة المعادن اللافلزية و مواد البناء
Arab Company for the manufacture of medical products - Care,الشركة العربية لتصنيع المنتجات الطبية - عناية,info@enayah.com,114985895,114985903,الرياض الثانية,غير مصنف
Arab Company for aluminum extrusion and coloring,الشركة العربية لسحب وتلوين الألمنيوم,aralex@aralex.net,126380650,26380650,جــدة الأولى,صناعة معدنية
Arabian Industries Equipment and countersinks drilling,الشركة العربية لصناعات معدات ومثاقب الحفر,steve-porter@halliburton.com,138121180,138121139,الدمام الثانية,غير مصنف
Arab Company for the manufacture of blankets and pillows,الشركة العربية لصناعة الأغطية والوسائد,accp@satex.com.sa,114982226,112411553,الرياض الثانية,الملابس والمنسوجات و الجلود
Arab Company for Plastic Industry - Oblko,الشركة العربية لصناعة البلاستيك - أبلكو,info@aplaco.com.sa,114480250,114480543,الرياض الأولى,صناعة منتجات المطاط و البلاستيك
Arab Paper Manufacturing Co.Ltd. - Paper,الشركة العربية لصناعة الورق المحدودة - ورق,hussam.almulla@waraq.com,138121255,138121251,الدمام الثانية,المواد الكيميائية و منتجاتها
Arab Paper Manufacturing Co.Ltd. - Paper,الشركة العربية لصناعة الورق المحدودة - ورق,hussam.almulla@waraq.com,138121255,138121251,الدمام الثانية,غير مصنف
Arabian Aluminum Co.Ltd.,الشركة العربية للالمنيوم المحدودة,khalid.othman@alumcogroup.com,126080805,126081212,جــدة الأولى,صناعة معدنية
Arab Tiles Co.Ltd.,الشركة العربية للبلاط المحدودة,khamisk@artic.com.sa,126147020,126147030,جدة الثالثة,صناعة المعادن اللافلزية و مواد البناء
Arab Tiles Co.Ltd. - Artec,الشركة العربية للبلاط المحدودة - ارتك,info@artic.com.sa,112652101,112651054,الرياض الثانية,صناعة المعادن اللافلزية و مواد البناء
Arab Tiles Co.Ltd. -artk,الشركة العربية للبلاط المحدودة -آرتك,khamisk@artic.com.sa,112652101,112651054,الخرج,صناعة المعادن اللافلزية و مواد البناء
Arab Company for Packaging (Sahari Pak),الشركة العربية للتغليف ( صحاري باك ),aaziz@saharipack.com,126353555,126380826,جــدة الأولى,صناعة منتجات المطاط و البلاستيك
Arab Company for Galvanizing,الشركة العربية للجلفنة,subra@agc.com.sa,138974415,138123613,الدمام الثانية,المواد الكيميائية و منتجاتها
Arab Company Limited sulfonate,الشركة العربية للسلفونات المحدودة,hr@asco.com.sa,122681515,126081460,جــدة الأولى,صناعات تحويلية اخرى
Arab Company Precision Industries,الشركة العربية للصناعات الدقيقة,sales@api-co.com,112652651,112652913,الرياض الثانية,صناعات تحويلية اخرى
Arab Company Solar,الشركة العربية للطاقة الشمسية,a.alghamdi@olayangroup.com,112651573,112651556,الرياض الثانية,صناعة الكهرباء والأجهزة الكهربائية
Arabian Perfumes Co.Ltd.,الشركة العربية للعطور المحدودة,mtaheni@patic.com.sa,126374771,126378918,جــدة الأولى,المواد الكيميائية و منتجاتها
Arabian Oud,الشركة العربية للعود,hrustom@arbianoud.com.sa,114742222,112066009,الرياض الثانية,المواد الكيميائية و منتجاتها
Arab Company for Spinningtextiles and blankets,الشركة العربية للغزل والمنسوجات والبطاطين,a-stbcoo@yahoo.com,138122093,138121204,الدمام الثانية,غير مصنف
Arab Company for Transformers,الشركة العربية للمحولات,hr.arabiantransformers@gmail.com,138120997,138122199,الدمام الثانية,غير مصنف
Arab Company for Pharmaceutical Co.Ltd.,الشركة العربية للمستحضرات الدوائية المحدودة,MajedOtaibi@arabio.com,125212901,125212901,مكة المكرمة,صناعات طبية
Arab Company for Printing Rouet,الشركة العربية للمطابع رويه,info@alkhereijigroup.com,114983303,114983547,الرياض الثانية,طباعة ونشر
Arab Company for metals and chemicals,الشركة العربية للمعادن والكيماويات,mshahrani@misaudi.com,138472187,138473608,الدمام الأولى,المواد الكيميائية و منتجاتها
Arab Company for Leather Products,الشركة العربية للمنتجات الجلدية,alfaeo126@hotmail.com,112652523,112651042,الرياض الثانية,غير مصنف
Arab Company for Chemical - Wabco,الشركة العربية للمنتجات الكيماوية - ابكو,abdul5_apco@hotmail.com,112652207,112651583,الرياض الثانية,المواد الكيميائية و منتجاتها
Arabian Insulation of Fiberglass Co.Ltd.,الشركة العربية للمواد العازلة من الفايبر جلاس المحدودة,ramzi@zamilindustrial.com,138471519,138473605,الدمام الأولى,صناعات تحويلية اخرى
Arab Company for Seals Co.Ltd.,الشركة العربية لمانعات التسرب المحدودة,halsheikh@arabianseals.com,138472710,138472730,الدمام الأولى,غير مصنف
Arab Company for plastic compounds,الشركة العربية لمركبات البلاستيك,ricom@apc-spf.com.sa,112650088,112650330,الرياض الثانية,غير مصنف
Arab Company for Fiber Glass Products,الشركة العربية لمنتجات الالياف الزجاجية,info@aliaf.com,112654041,112651901,الرياض الثانية,غير مصنف
Western Modern Packaging Co.Ltd,الشركة الغربية الحديثة للتغليف المحدودة,gmoffice@asiig.com,126365252,126367771,جــدة الأولى,غير مصنف
Technical Company for Aluminum Furniture and Decoration,الشركة الفنية لاثاث الالمنيوم والزخرفة,walieddsy@hotmail.com,114981296,114981292,الرياض الثانية,صناعة الخشب و الأثاث
Technical Glass Company,الشركة الفنية للزجاج,info@technoglass.com.sa,126372041,26372041,جــدة الأولى,غير مصنف
United company to produce pontiffs Co.Ltd.,الشركة المتحدة لانتاج الاحبار المحدودة,info@unitedinksa.com,126080723,126080717,جــدة الأولى,المواد الكيميائية و منتجاتها
Company United Lubricating Oil Treatment,الشركة المتحدة لزيوت التشحيم المعالجة,mohammad@unilubeco.com,133411179,133411344,الدمام الثانية,المواد الكيميائية و منتجاتها
United Co. For Coating Industry Co.Ltd.,الشركة المتحدة لصناعة الطلاء المحدودة,hussainbader@ucicoat.com,138120011,138121011,الدمام الثانية,المواد الكيميائية و منتجاتها
United Co. For Carton Industry,الشركة المتحدة لصناعة الكرتون,mkadi@ucic.com.sa,122244100,126368789,جــدة الأولى,غير مصنف
United Co. For Carton Industry,الشركة المتحدة لصناعة الكرتون,mkadi@ucic.com.sa,122244100,126368789,جــدة الأولى,ورق ومنتجاتها
United Company for spare parts,الشركة المتحدة لقطع الغيار,usp@usp.com.sa,126371097,26371097,جــدة الأولى,معدات ومكائن
Company United Industrial Investments,الشركة المتحدة للاستثمارات الصناعية,info@adpc-ltd.com,112650078,112650723,الرياض الثانية,المواد الكيميائية و منتجاتها
United Medical Industries Co.Ltd.,الشركة المتحدة للصناعات الطبية المحدودة,general@unimed.com.sa,112650665,112650569,الرياض الثانية,صناعات طبية
United Company for electrical transformers,الشركة المتحدة للمحولات الكهربائية,info@utec.com.sa,114984590,114983831,الرياض الثانية,صناعة الكهرباء والأجهزة الكهربائية
United company for wood products and metal,الشركة المتحدة للمنتجات الخشبية والمعدنية,info@uwpco.com,112657777,112652817,الرياض الثانية,غير مصنف
United Company for plastic products,الشركة المتحدة لمنتوجات البلاستيك,ahmed.ibrahim@napcogroup.com,126081477,126380825,جــدة الأولى,صناعة منتجات المطاط و البلاستيك
The company developed for the manufacture of metal and glass,الشركة المتقدمة لتصنيع المعادن والزجاج,alu@amg-metal.com,138127776,138127470,الدمام الثانية,غير مصنف
Typical Systems Company prefabricated concrete,الشركة النموذجية لانظمة الخرسانة مسبقة الصنع,ipc@saudi.net.sa,138277731,138277759,الدمام الثانية,غير مصنف
National Company Limited and galvanized iron columns,الشركة الوطنية المحدودة للجلفنة والأعمدة الحديدية,Info@galvanco.com,966112652078,966112652079,الرياض الثانية,غير مصنف
National distinctive products ice cream,الشركة الوطنية المميزة لمنتجات الآيسكريم,amalfactory@yahoo.com,126793838,26793838,جــدة الأولى,صناعة المنتجات الغذائية والمشروبات
